date,code,action,shares,price,fee
2025-01-02,001300.SZ,BUY,100,11.4138,0.22827600000000003
2025-01-02,001313.SZ,BUY,200,8.9544,0.358176
2025-01-02,001318.SZ,BUY,100,11.786,0.23571999999999999
2025-01-02,001322.SZ,BUY,200,8.1642,0.326568
2025-01-02,001324.SZ,BUY,100,16.883,0.33766
2025-01-02,001330.SZ,BUY,300,6.0,0.36000000000000004
2025-01-02,001331.SZ,BUY,100,18.6226,0.37245199999999995
2025-01-02,001333.SZ,BUY,100,17.7875,0.35575000000000007
2025-01-02,001336.SZ,BUY,100,17.6714,0.35342799999999996
2025-01-02,001338.SZ,BUY,100,11.0603,0.221206
2025-01-02,001360.SZ,BUY,100,13.1757,0.263514
2025-01-02,001366.SZ,BUY,100,10.7715,0.21542999999999998
2025-01-02,001376.SZ,BUY,100,14.4937,0.289874
2025-01-02,001896.SZ,BUY,300,5.6038,0.33622799999999997
2025-01-02,001965.SZ,BUY,100,17.1491,0.342982
2025-01-02,001979.SZ,BUY,100,13.479,0.26958
2025-01-02,002005.SZ,BUY,100,16.36,0.3272
2025-01-02,002047.SZ,BUY,200,9.6417,0.38566800000000007
2025-01-02,002059.SZ,BUY,100,11.6889,0.23377800000000004
2025-01-02,002060.SZ,BUY,100,15.1539,0.303078
2025-01-02,002061.SZ,BUY,100,13.738,0.27476
2025-01-02,002067.SZ,BUY,100,10.4075,0.20815
2025-01-02,002075.SZ,BUY,100,18.4502,0.369004
2025-01-02,002076.SZ,BUY,100,16.5316,0.33063200000000004
2025-01-02,002082.SZ,BUY,100,19.2664,0.38532800000000006
2025-01-02,002083.SZ,BUY,100,13.6823,0.273646
2025-01-02,002084.SZ,BUY,200,9.5991,0.383964
2025-01-02,002086.SZ,BUY,100,11.7209,0.23441800000000004
2025-01-02,002092.SZ,BUY,100,14.9996,0.299992
2025-01-02,002098.SZ,BUY,100,18.6215,0.37243000000000004
2025-01-02,002105.SZ,BUY,200,8.5354,0.341416
2025-01-02,002109.SZ,BUY,100,12.2824,0.245648
2025-01-02,002110.SZ,BUY,200,7.8595,0.31438
2025-01-02,002114.SZ,BUY,100,10.4808,0.209616
2025-01-02,002132.SZ,BUY,100,16.3085,0.32617
2025-01-02,002133.SZ,BUY,200,8.0865,0.32345999999999997
2025-01-02,002135.SZ,BUY,100,13.6287,0.27257400000000004
2025-01-02,002141.SZ,BUY,100,13.9418,0.27883600000000003
2025-01-02,002144.SZ,BUY,100,11.9336,0.23867200000000005
2025-01-02,002145.SZ,BUY,100,18.798,0.37595999999999996
2025-01-02,002160.SZ,BUY,200,7.7443,0.309772
2025-01-02,002162.SZ,BUY,200,7.7443,0.309772
2025-01-02,002164.SZ,BUY,100,15.709,0.31418
2025-01-02,002172.SZ,BUY,200,9.4891,0.37956400000000007
2025-01-02,002181.SZ,BUY,100,13.1684,0.263368
2025-01-02,002188.SZ,BUY,200,8.8614,0.354456
2025-01-02,002196.SZ,BUY,100,14.7422,0.294844
2025-01-02,002197.SZ,BUY,100,16.2785,0.32557
2025-01-02,002200.SZ,BUY,100,10.7987,0.21597400000000003
2025-01-02,002205.SZ,BUY,100,18.1937,0.363874
2025-01-02,002207.SZ,BUY,100,10.1008,0.202016
2025-01-02,002209.SZ,BUY,100,14.3318,0.286636
2025-01-02,002217.SZ,BUY,100,12.9918,0.259836
2025-01-02,002225.SZ,BUY,200,9.6425,0.38570000000000004
2025-01-02,002234.SZ,BUY,100,18.9649,0.379298
2025-01-02,002243.SZ,BUY,100,13.9194,0.278388
2025-01-02,002246.SZ,BUY,100,16.291,0.32582000000000005
2025-01-02,002247.SZ,BUY,100,16.6071,0.332142
2025-01-02,002248.SZ,BUY,100,15.739,0.31478000000000006
2025-01-02,002259.SZ,BUY,300,5.9971,0.359826
2025-01-02,002263.SZ,BUY,100,10.9945,0.21989000000000003
2025-01-02,002278.SZ,BUY,100,11.7058,0.234116
2025-01-02,002282.SZ,BUY,100,16.2195,0.32439
2025-01-02,002289.SZ,BUY,300,5.6709,0.340254
2025-01-02,002291.SZ,BUY,100,10.9226,0.218452
2025-01-02,002295.SZ,BUY,100,10.3253,0.206506
2025-01-02,002298.SZ,BUY,100,16.0678,0.321356
2025-01-02,002305.SZ,BUY,200,6.7127,0.268508
2025-01-02,002307.SZ,BUY,100,15.2327,0.30465400000000004
2025-01-02,002314.SZ,BUY,300,5.6484,0.33890400000000004
2025-01-02,002316.SZ,BUY,100,10.6097,0.21219400000000002
2025-01-02,002321.SZ,BUY,300,5.1716,0.310296
2025-01-02,002323.SZ,BUY,100,12.7253,0.254506
2025-01-02,002328.SZ,BUY,100,18.6656,0.37331200000000003
2025-01-02,002330.SZ,BUY,200,9.1473,0.365892
2025-01-02,002333.SZ,BUY,100,19.3726,0.38745199999999996
2025-01-02,002342.SZ,BUY,200,7.9398,0.31759200000000004
2025-01-02,002343.SZ,BUY,100,19.5287,0.39057400000000003
2025-01-02,002354.SZ,BUY,100,15.4893,0.309786
2025-01-02,002355.SZ,BUY,100,13.1031,0.262062
2025-01-02,002356.SZ,BUY,100,18.7995,0.37599
2025-01-02,002363.SZ,BUY,100,18.3856,0.367712
2025-01-02,002366.SZ,BUY,100,10.4462,0.208924
2025-01-02,002370.SZ,BUY,100,10.589,0.21178000000000002
2025-01-02,002374.SZ,BUY,100,17.7713,0.355426
2025-01-02,002377.SZ,BUY,100,13.7868,0.275736
2025-01-02,002378.SZ,BUY,100,17.8929,0.35785800000000006
